iata,name,location,country
PEI,Matecaña International Airport,Pereira,Colombia
PXL,Polacca Airport,"Polacca, Arizona",United States
RWI,Rocky Mount-Wilson Regional Airport,"Rocky Mount, North Carolina",United States
SOG,"Sogndal Airport, Haukåsen",Sogndal,Norway
THD,Tho Xuan Airport,Thanh Hoa,Vietnam
ULO,Ulaangom Airport,"Ulaangom, Uvs Province",Mongolia
WMO,White Mountain Airport,"White Mountain, Alaska",United States
YEL,Elliot Lake Municipal Airport,"Elliot Lake, Ontario",Canada
YTD,Thicket Portage Airport,"Thicket Portage, Manitoba",Canada
QYG,All German Railway Stations,,Germany
AHC,Amedee Army Airfield,"Herlong, California",United States
ATJ,Antsirabe Airport,Antsirabe,Madagascar
BFS,Belfast International Airport,"Belfast, Northern Ireland",United Kingdom
BQS,Ignatyevo Airport,"Blagoveshchensk, Amur Oblast",Russia
CCH,Chile Chico Airport,"Chile Chico, Aisén Region",Chile
CNV,Canavieiras Airport,"Canavieiras, Bahia",Brazil
DBD,Dhanbad Airport,Dhanbad,India
DZN,Zhezkazgan Airport,Jezkazgan,Kazakhstan
FAG,Fagurhólsmýri Airport,Fagurhólsmýri,Iceland
GCK,Garden City Regional Airport,"Garden City, Kansas",United States
GUX,Guna Airport,Guna,India
HRJ,Chaurjhari Airport,Chaurjhari,Nepal
IPN,Usiminas Airport,"Ipatinga / Santana do Paraiso, Minas Gerais",Brazil
JRH,Jorhat Airport,Jorhat,India
KKG,Konawaruk Airport,Konawaruk,Guyana
KWP,West Point Village Seaplane Base,"West Point, Kodiak Island Borough, Alaska",United States
LLP,Linda Downs Airport,"Linda Downs, Queensland",Australia
MAK,Malakal Airport,Malakal,South Sudan
MLB,Melbourne International Airport,"Melbourne, Florida",United States
MWD,PAF Base Mianwali,Mianwali,Pakistan
NYC, ALL Airports,"New York City, New York",United States
PEK,Beijing Capital International Airport,Beijing,People's Republic of China
PXM,Puerto Escondido International Airport,"Puerto Escondido, Oaxaca",Mexico
RWL,Rawlins Municipal Airport (Harvey Field),"Rawlins, Wyoming",United States
SOJ,Sørkjosen Airport,Sørkjosen,Norway
THE,Teresina Airport,"Teresina, Piauí",Brazil
ULS,Mulatos Airport,Mulatos,Colombia
WNA,Napakiak Airport,"Napakiak, Alaska",United States
YEM,Manitowaning/Manitoulin East Municipal Airport,"Manitowaning, Ontario",Canada
YTE,Cape Dorset Airport,"Cape Dorset, Nunavut",Canada
QYX,Uppsala Central Station,Uppsala,Sweden
AHD,Ardmore Downtown Executive Airport,"Ardmore, Oklahoma",United States
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,"Atqasuk, Alaska",United States
BFT,Beaufort County Airport,"Beaufort County, South Carolina",United States
BQT,Brest Airport,Brest,Belarus
CCI,Concórdia Airport,"Concórdia, Amazonas",Brazil
CNW,TSTC Waco Airport,"Waco, Texas",United States
DBM,Debre Marcos Airport,Debre Marcos,Ethiopia
DZO,Santa Bernardina International Airport,"Durazno, Durazno",Uruguay
FAH,Farah Airport,Farah,Afghanistan
GCM,Owen Roberts International Airport,Georgetown,Cayman Islands
GUY,Guymon Municipal Airport,"Guymon, Oklahoma",United States
HRK,Kharkiv International Airport (Osnova Airport),Kharkiv,Ukraine
IPT,Williamsport Regional Airport,"Williamsport, Pennsylvania",United States
JRK,Arsuk Airport,Arsuk,Greenland
KKH,Kongiganak Airport,"Kongiganak, Alaska",United States
KWR,Kwai Harbour Airport,Kwai Harbour,Solomon Islands
LLS,Alferez Armando Rodriguez,"Las Lomitas, Formosa",Argentina
MAL,Mangole Island Airport,"Mangole Island, Maluku Islands",Indonesia
MLC,McAlester Regional Airport,"McAlester, Oklahoma",United States
MWE,Merowe Airport,Merowe,Sudan
NYG,MCAF Quantico (Turner Field),"Quantico, Virginia",United States
PEM,Puerto Maldonado International Airport,Puerto Maldonado,Peru
PXO,Porto Santo Airport,"Porto Santo, Madeira",Portugal
RWN,Rovno Airport,Rivne,Ukraine
SOK,Semonkong Airport,Semonkong,Lesotho
THF,Tempelhof International Airport,Berlin,Germany
ULV,Ulyanovsk Baratayevka Airport,Ulyanovsk,Russia
WNC,Naukati Bay Seaplane Base,"Tuxekan Island, Alaska",United States
YEN,Estevan Airport,"Estevan, Saskatchewan",Canada
YTF,Alma Airport,"Alma, Quebec",Canada
SOO,Söderhamn Railway Station,,Sweden
AHE,Ahe Airport,Ahe,French Polynesia
ATL,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States
BFU,Bengbu Airport,"Bengbu, Anhui",China
BQU,J.F. Mitchell Airport,Bequia,Saint Vincent and the Grenadines
CCJ,Calicut Airport,Kozhikode (Calicut),India
CNX,Chiang Mai International Airport,Chiang Mai,Thailand
DBN,W. H. 'Bud' Barron Airport,"Dublin, Georgia",United States
DZU,Dazu Airport,Dazu District,China
FAI,Fairbanks International Airport,"Fairbanks, Alaska",United States
GCN,Grand Canyon National Park Airport,"Tusayan, Arizona",United States
GUZ,Guarapari Airport,"Guarapari, Espírito Santo",Brazil
HRL,Valley International Airport,"Harlingen, Texas",United States
IPU,Ipiaú Airport,"Ipiaú, Bahia",Brazil
JRN,Juruena Airport,"Juruena, Mato Grosso",Brazil
KKI,Akiachak Seaplane Base,"Akiachak, Alaska",United States
KWS,Kwailabesi Airport,Kwailabesi,Solomon Islands
LLU,Alluitsup Paa Heliport,Alluitsup Paa,Greenland
MAM,GENERAL Servando Canales International Airport,"Matamoros, Tamaulipas",Mexico
MLD,Malad City Airport,"Malad City, Idaho",United States
MWF,Maewo-Naone Airport,Maewo,Vanuatu
NYI,Sunyani Airport,Sunyani,Ghana
PEN,Penang International Airport,Penang,Malaysia
PYC,Playón Chico Airport,"Ukupseni, Guna Yala",Panama
RXE,Rexburg-Madison County Airport,"Rexburg, Idaho",United States
SOM,San Tomé Airport,San Tomé,Venezuela
THI,Tichitt Airport,Tichitt,Mauritania
ULY,Ulyanovsk Vostochny Airport,Ulyanovsk,Russia
WNH,Wenshan Airport,"Wenshan, Yunnan",China
YEO,RNAS Yeovilton,"Yeovilton, England",United Kingdom
YTG,Sullivan Bay Airport,"Sullivan Bay, British Columbia",Canada
TTK,Tottenham Hale Station,London,United Kingdom
AHF,Arapahoe Municipal Airport,"Arapahoe, Nebraska",United States
ATM,Altamira Airport,"Altamira, Pará",Brazil
BFV,Buriram Airport,Buriram (Buri Ram),Thailand
BQV,Bartlett Cove Seaplane Base,"Bartlett Cove, Alaska",United States
CCK,Cocos Islands Airport,Cocos Islands,Australia
CNY,Canyonlands Field,"Moab, Utah",United States
DBO,Dubbo Airport,"Dubbo, New South Wales",Australia
EAA,Eagle Airport,"Eagle, Alaska",United States
FAJ,Diego Jimenez Torres Airport,"Fajardo, Puerto Rico",United States
GCY,Greeneville-Greene County Municipal Airport,"Greeneville, Tennessee",United States
GVA,Cointrin International Airport,Geneva,Switzerland
HRM,Tilrempt Airport,Hassi R'Mel,Algeria
IPW,Ipswich Airport (closed 1996),Ipswich,England
JRO,Kilimanjaro International Airport,Kilimanjaro,Tanzania
KKJ,Kokura Airport,"Kita Ky?sh?, Ky?sh?",Japan
KWT,Kwethluk Airport,"Kwethluk, Alaska",United States
LLV,Lüliang Airport,"Lüliang, Shanxi",China
MAN,Manchester Airport,Manchester,United Kingdom
MLE,Malé International Airport,Hulhulé Island,Maldives
MWG,Marawaka Airport,Marawaka,Papua New Guinea
NYK,Nanyuki Airport,Nanyuki,Kenya
PEQ,Pecos Municipal Airport,"Pecos, Texas",United States
PYH,Cacique Aramare Airport,Puerto Ayacucho,Venezuela
RXS,Roxas Airport,"Roxas City, Capiz",Philippines
SON,Santo-Pekoa International Airport,Luganville,Vanuatu
THL,Tachilek Airport,Tachilek,Myanmar (Burma)
UMA,Punta de Maisi Airport,"Maisí, Guantánamo Province",Cuba
WNP,Naga Airport (Pili Airport),"Pili, Camarines Sur",Philippines
YEP,Estevan Point Airport,"Estevan Point, British Columbia",Canada
YTH,Thompson Airport,"Thompson, Manitoba",Canada
XAT,Gare d'Antibes,Antibes,France
AHH,Amery Municipal Airport,"Amery, Wisconsin",United States
ATN,Namatanai Airport,Namatanai,Papua New Guinea
BFW,Sidi Bel Abbès Airport,Sidi Bel Abbès,Algeria
BQW,Balgo Hill Airport,"Balgo Hill, Western Australia",Australia
CCL,Chinchilla Airport,"Chinchilla, Queensland",Australia
CNZ,Cangamba Airport,Cangamba,Angola
DBP,Debepare Airport,Debepare,Papua New Guinea
EAB,Abbse Airport,Abbse,Yemen
FAK,False Island Seaplane Base,"False Island, Alaska",United States
GDA,Gounda Airport,Gounda,Central African Republic
GVE,Gordonsville Municipal Airport,"Gordonsville, Virginia",United States
HRN,Heron Island Heliport,"Heron Island, Queensland",Australia
IQM,Qiemo Airport,"Qiemo, Xinjiang",China
JRS,Atarot Airport (Jerusalem International Airport),Jerusalem,Israel
KKK,Kalakaket Creek Air Station,"Kalakaket Creek, Alaska",United States
KWV,Kurwina Airport,Kurwina,Papua New Guinea
LLW,Kamuzu International Airport,Lilongwe,Malawi
MAO,Eduardo Gomes International Airport,"Manaus, Amazonas",Brazil
MLF,Milford Municipal Airport (Ben and Judy Briscoe Field),"Milford, Utah",United States
MWH,GRANT County International Airport,"Moses Lake, Washington",United States
NYM,Nadym Airport,"Nadym, Yamalo - Nenets Autonomous Okrug",Russia
PER,Perth Airport,"Perth, Western Australia",Australia
PYJ,Polyarny Airport,"Polyarny, Yakutia",Russia
RYB,Staroselye Airport,"Rybinsk, Yaroslavl Oblast",Russia
SOP,Moore County Airport,"Pinehurst / Southern Pines, North Carolina",United States
THN,Trollhättan-Vänersborg Airport,Trollhättan / Vänersborg,Sweden
UMD,Uummannaq Heliport,Uummannaq,Greenland
WNZ,Wenzhou Yongqiang Airport,"Wenzhou, Zhejiang",China
YEQ,Yenkis Airport,Yenkis,Papua New Guinea
YTI,Triple Island Helipad,"Triple Island, British Columbia",Canada
XAX,Dorval,Montréal,Canada
AHI,Amahai Airport,Amahai,Indonesia
ATO,Ohio University Airport (Snyder Field),"Athens/Albany, Ohio",United States
BFX,Bafoussam Airport,Bafoussam,Cameroon
BRA,Barreiras Airport,"Barreiras, Bahia",Brazil
CCM,Forquilhinha Airport,"Criciúma, Santa Catarina",Brazil
COA,Columbia Airport,"Columbia, California",United States
DBQ,Dubuque Regional Airport,"Dubuque, Iowa",United States
EAE,Siwo Airport,"Sangafa, Emae, Shéfa",Vanuatu
FAM,Farmington Regional Airport,"Farmington, Missouri",United States
GDC,Donaldson Center Airport,"Greenville, South Carolina",United States
GVI,Green River Airport,Green River,Papua New Guinea
HRO,Boone County Airport,"Harrison, Arkansas",United States
IQN,Qingyang Airport,"Qingyang, Gansu",China
JSA,Jaisalmer Airport,Jaisalmer,India
KKL,Karluk Lake Seaplane Base,"Karluk Lake, Alaska",United States
KWX,Kiwai Island Airport,Kiwai Island,Papua New Guinea
LLX,Caledonia County Airport,"Lyndonville, Vermont",United States
MAP,Mamai Airport,Mamai,Papua New Guinea
MLG,Abdul Rachman Saleh Airport,"Malang, East Java",Indonesia
MWJ,Matthews Ridge Airport,Matthews Ridge,Guyana
NYO,Stockholm-Skavsta Airport,Nyköping,Sweden
PES,Besovets Airport,Petrozavodsk,Russia
PYM,Plymouth Municipal Airport,"Plymouth, Massachusetts",United States
RYG,"Moss Airport, Rygge / Rygge Air Station",Rygge,Norway
SOS,Sayak (Siargao) Airport,"Del Carmen, Surigao del Norte",Philippines
THO,Thorshofn Airport,Þórshöfn,Iceland
UME,Umeå City Airport,Umeå,Sweden
WOE,Woensdrecht Air Base,Woensdrecht,Netherlands
YER,Fort Severn Airport,"Fort Severn, Ontario",Canada
YTJ,Terrace Bay Airport,"Terrace Bay, Ontario",Canada
XCG,Gare de Cagnes-sur-Mer,Cagnes-sur-Mer,France
AHL,Aishalton Airport,Aishalton,Guyana
ATP,Aitape Airstrip,Aitape,Papua New Guinea
BGA,Palonegro Airport,Bucaramanga,Colombia
BRB,Barreirinhas Airport,"Barreirinhas, Maranhão",Brazil
CCN,Chaghcharan Airport,Chaghcharan,Afghanistan
COB,Coolibah Airport,"Coolibah, Northern Territory",Australia
DBS,Dubois Municipal Airport,"Dubois, Idaho",United States
EAL,Elenak Airport,Elenak,Marshall Islands
FAN,Lista Airport,Farsund,Norway
GDD,Gordon Downs Airport,"Gordon Downs, Western Australia",Australia
GVL,Lee Gilmer Memorial Airport,"Gainesville, Georgia",United States
HRR,Herrera Airport,Herrera,Colombia
IQQ,Diego Aracena International Airport,Iquique,Chile
JSD,Sikorsky Heliport,"Stratford, Connecticut",United States
KKM,Sa Pran Nak Airport,Lop Buri,Thailand
KWY,Kiwayu Airport,Kiwayu,Kenya
LLY,South Jersey Regional Airport,"Mount Holly, New Jersey",United States
MAQ,Mae Sot Airport,"Mae Sot, Tak Province",Thailand
MLH,EuroAirport Basel-Mulhouse-Freiburg,Mulhouse,France
MWK,Matak Airport,"Anambas Islands, Riau Province",Indonesia
NYR,Nyurba Airport,"Nyurba, Sakha Republic",Russia
PET,Pelotas International Airport,"Pelotas, Rio Grande DO Sul",Brazil
PYY,Pai Airport,Pai,Thailand
RYN,Medis Airport,Royan,France
SOU,Southampton Airport,"Eastleigh, England",United Kingdom
THP,Hot Springs County-Thermopolis Municipal Airport,"Thermopolis, Wyoming",United States
UMM,Summit Airport,"Summit, Alaska",United States
WOL,Illawarra Regional Airport (Wollongong Airport),"Shellharbour, Wollongong, New South Wales",Australia
YET,Edson Airport,"Edson, Alberta",Canada
YTK,Tulugak Airport,"Tulugak, Quebec",Canada
XDB,Gare de Lille Europe,Lille,France
AHN,Athens-Ben Epps Airport,"Athens, Georgia",United States
ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India
BGB,Booue Airport,Booue,Gabon
BRC,San Carlos de Bariloche Airport,"San Carlos de Bariloche, Río Negro Province",Argentina
CCO,Carimagua Airport,"Puerto López, Meta",Colombia
COC,Concordia Airport (Comodoro Pierrestegui Airport),"Concordia, Entre Ríos",Argentina
DBT,Debre Tabor Airport,Debre Tabor,Ethiopia
EAM,Najran Domestic Airport,Najran (Nejran),Saudi Arabia
FAO,Faro Airport,Faro,Portugal
GDE,Gode Airport (Iddidole Airport),Gode,Ethiopia
GVP,Greenvale Airport,"Greenvale, Queensland",Australia
HRS,Harrismith Airport,Harrismith,South Africa
IQT,Crnl. FAP Francisco Secada Vignetta International Airport,"Iquitos, Loreto",Peru
JSG,San Rafael Heliport,"San Rafael, California",United States
KKN,"Kirkenes Airport, Høybuktmoen","Kirkenes, Finnmark",Norway
KWZ,Kolwezi Airport,"Kolwezi, Lualaba District",Democratic Republic of the Congo
LMA,Lake Minchumina Airport,"Lake Minchumina, Alaska",United States
MAR,La Chinita International Airport,Maracaibo,Venezuela
MLI,Quad City International Airport,"Moline, Illinois",United States
MWL,Mineral Wells Airport,"Mineral Wells, Texas",United States
NYT,Naypyidaw Airport,Naypyidaw,Myanmar
PEW,Peshawar Airport,Peshawar,Pakistan
PZB,Pietermaritzburg Airport,Pietermaritzburg,South Africa
RZE,Rzeszów - Jasionka Airport,Rzeszów,Poland
SOV,Seldovia Airport,"Seldovia, Alaska",United States
THR,Mehrabad International Airport,Tehran,Iran
UMS,Ust-Maya Airport,"Ust-Maya, Ust-Maysky District, Sakha Republic",Russia
WOT,Wang-an Airport,"Wang-an, Penghu (Pescadores)",China
YEU,Eureka Aerodrome,"Eureka, Nunavut",Canada
YTL,Big Trout Lake Airport,"Big Trout Lake, Ontario",Canada
XDH,Jasper Railway Station,"Jasper, Alberta",Canada
AHO,Fertilia Airport (Alghero Airport),"Alghero, Sardinia",Italy
ATR,Atar International Airport,Atar,Mauritania
BGC,Bragança Airport,Bragança,Portugal
BRD,Brainerd Lakes Regional Airport,"Brainerd, Minnesota",United States
CCP,Carriel Sur International Airport,"Concepción, Bío Bío Region",Chile
COD,Yellowstone Regional Airport,"Cody, Wyoming",United States
DBV,Dubrovnik Airport,"Dubrovnik, Dubrovnik-Neretva County",Croatia
EAN,Phifer Airfield,"Wheatland, Wyoming",United States
FAQ,Frieda River Airport,Frieda River,Papua New Guinea
GDG,Magdagachi Airport,Magdagachi,Russia
GVR,Governador Valadares Airport,"Governador Valadares, Minas Gerais",Brazil
HRT,Linton-On-Ouse Airport,"Harrogate, England",United Kingdom
IRA,Ngorangora Airport (Kirakira Airport),"Kirakira, Makira Island",Solomon Islands
JSH,Sitia Public Airport,"Sitia, Crete",Greece
KKO,Kaikohe Aerodrome,Kaikohe,New Zealand
KXA,Kasaan Seaplane Base,"Kasaan, Alaska",United States
LMB,Salima Airport,Salima,Malawi
MAS,Momote Airport,"Los Negros Island, Admiralty Islands",Papua New Guinea
MLJ,Baldwin County Airport,"Milledgeville, Georgia",United States
MWM,Windom Municipal Airport,"Windom, Minnesota",United States
NYU,Bagan Airport,Bagan,Myanmar (Burma)
PEX,Pechora Airport,"Pechora, Komi Republic",Russia
PZH,Zhob Airport,Zhob,Pakistan
RZN,Turlatovo Airport,Ryazan,Russia
SOW,Show Low Regional Airport,"Show Low, Arizona",United States
THS,Sukhothai Airport,Sukhothai,Thailand
UMT,Umiat Airport,"Umiat, Alaska",United States
WOW,Willow Airport,"Willow, Alaska",United States
YEV,Inuvik (Mike Zubko) Airport,"Inuvik, Northwest Territories",Canada
YTM,Rivière Rouge/Mont-Tremblant International Airport,"Mont-Tremblant (La Macaza), Quebec",Canada
XDS,Ottawa Train Station,Ottawa,Canada
AHS,Ahuas Airport,Ahuas,Honduras
ATS,Artesia Municipal Airport,"Artesia, New Mexico",United States
BGD,Hutchinson County Airport,"Borger, Texas",United States
BRE,Bremen Airport,Bremen,Germany
CCQ,Cachoeira Airport,"Cachoeira, Bahia",Brazil
COE,Coeur d'Alene Air Terminal,"Coeur d'Alene, Idaho",United States
DBY,Dalby Airport,"Dalby, Queensland",Australia
EAP,All airports,"Mulhouse, France / Basel",Switzerland
FAR,Hector International Airport,"Fargo, North Dakota",United States
GDH,Golden Horn Lodge Seaplane Base,"Golden Horn Lodge, Alaska",United States
GVT,Majors Airport,"Greenville, Texas",United States
HRY,Henbury Airport,"Henbury, Northern Territory",Australia
IRB,Iraan Municipal Airport,"Iraan, Texas",United States
JSI,Skiathos Island National Airport,Skiathos Island,Greece
KKP,Koolburra Airport,"Koolburra, Queensland",Australia
KXE,Klerksdorp Airport (P.C. Pelser Airport),Klerksdorp,South Africa
LMC,La Macarena Airport,La Macarena,Colombia
MAT,Tshimpi Airport (Matadi Airport),Matadi,Democratic Republic of the Congo
MLL,Marshall Don Hunter Sr.Airport,"Marshall, Alaska",United States
MWO,Hook Field Municipal Airport,"Middletown, Ohio",United States
NZA,Nzagi Airport,Nzagi(Andrada),Angola
PEZ,Penza Airport,Penza,Russia
PZO,Manuel Carlos Piar Guayana Airport,Ciudad Guayana,Venezuela
RZP,Cesar Lim Rodriguez (Taytay-Sandoval) Airport,"Taytay, Palawan",Philippines
SOY,Stronsay Airport,"Stronsay, Scotland",United Kingdom
THT,Tamchakett Airport,Tamchakett,Mauritania
UNC,Unguía Airport,Unguía,Colombia
WPA,Puerto Aisén Airport,Puerto Aisén,Chile
YEY,Amos/Magny Airport,"Amos, Quebec",Canada
YTN,Rivière-au-Tonnerre Airport,"Rivière-au-Tonnerre, Quebec",Canada
XDV,Prince George Railway Station,"Prince George, British Columbia",Canada
AHU,Charif Al ldrissi Airport,Al Hoceima,Morocco
ATT,Atmautluak Airport,"Atmautluak, Alaska",United States
BGE,Decatur County Industrial Air Park,"Bainbridge, Georgia",United States
BRH,Brahman Airport,Brahman,Papua New Guinea
CCR,Buchanan Field,"Concord, California",United States
COF,Patrick Air Force Base,"Cocoa Beach, Florida",United States
DCA,Ronald Reagan Washington National Airport,"Arlington County, Virginia",United States
EAR,Kearney Regional Airport,"Kearney, Nebraska",United States
FAS,Fáskrúðsfjörður Airport,Fáskrúðsfjörður,Iceland
GDI,Gordil Airport,Gordil,Central African Republic
GVX,Gävle-Sandviken Airport,Gävle-Sandviken,Sweden
HRZ,Horizontina Airport,"Horizontina, Rio Grande do Sul",Brazil
IRC,Circle City (New) Airport,"Circle, Alaska",United States
JSK,St. Cloud Municipal Heliport,"St. Cloud, Minnesota",United States
KKR,Kaukura Atoll Airport,Kaukura Atoll,French Polynesia
KXF,Koro Airport,Koro Island,Fiji
LMD,Los Menucos Airport,"Los Menucos, Río Negro",Argentina
MAU,Maupiti Airport,"Maupiti, Leeward Islands",French Polynesia
MLM,GENERAL Francisco J.Mujica International Airport,"Morelia, Michoacán",Mexico
MWP,Mountain Airport,Mountain,Nepal
NZC,Maria Reiche Neuman Airport,"Nazca, Ica Region",Peru
PFB,Lauro Kurtz Airport (Passo Fundo Airport),"Passo Fundo, Rio Grande DO Sul",Brazil
PZU,PORT Sudan New International Airport,PORT Sudan,Sudan
RZZ,Halifax County Airport,"Roanoke Rapids, North Carolina",United States
SPA,Spartanburg Downtown Memorial Airport,"Spartanburg, South Carolina",United States
THU,Thule Air Base,Pituffik,Greenland
UND,Kunduz Airport,Kunduz,Afghanistan
WPB,Port Bergé Airport,Port Bergé,Madagascar
YFA,Fort Albany Airport,"Fort Albany, Ontario",Canada
YTO,All airports,"Toronto, Ontario",Canada
XDW,Prince Rupert Railway Station,"Prince Rupert, British Columbia",Canada
AHY,Ambatolahy Airport,Ambatolahy,Madagascar
ATU,Casco Cove Coast Guard Station,"Attu Island, Alaska",United States
BGF,Bangui M'Poko International Airport,Bangui,Central African Republic
BRI,"Bari ""Karol Wojty?a"" Airport",Bari,Italy
CCS,Simón Bolívar International Airport,Maiquetía,Venezuela
COG,Mandinga Airport,Condoto,Colombia
DCF,Canefield Airport,Canefield,Dominica
EAS,San Sebastián Airport (or Fuenterrabia Airport),San Sebastián,Spain
FAT,Fresno Yosemite International Airport,"Fresno, California",United States
GDJ,Gandajika Airport,Gandajika,Democratic Republic of the Congo
GWA,Gwa Airport,Gwa,Myanmar (Burma)
HSB,Harrisburg-Raleigh Airport,"Harrisburg, Illinois",United States
IRD,Ishhurdi Airport,Ishhurdi,Bangladesh
JSL,Steel Pier Taj Mahal Heliport,"Atlantic City, New Jersey",United States
KKT,Kentland Municipal Airport,"Kentland, Indiana",United States
KXK,Khurba Airport,"Komsomolsk-on-Amur, Khabarovsk Krai",Russia
LME,Le Mans Arnage Airport,Le Mans,France
MAV,Maloelap Airport,"Taroa Island, Maloelap Atoll",Marshall Islands
MLN,Melilla Airport,Melilla,Morocco
MWQ,Magwe Airport,Magwe,Myanmar (Burma)
NZE,Nzérékoré Airport,N'zerekore,Guinea
PFC,Pacific City State Airport,"Pacific City, Oregon",United States
PZY,Pieštany Airport,Pieš?any,Slovakia
SAA,Shively Field,"Saratoga, Wyoming",United States
SPB,Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base),"Charlotte Amalie, Saint Thomas",U.S. Virgin Islands
THV,York Airport,"York, Pennsylvania",United States
UNI,Union Island Airport,Union Island,Saint Vincent and the Grenadines
WPC,Pincher Creek Airport,"Pincher Creek, Alberta",Canada
YFB,Iqaluit Airport,"Iqaluit, Nunavut",Canada
YTP,Tofino Harbour Water Aerodrome,"Tofino, British Columbia",Canada
XDZ,The Pas Railway Station,"The Pas, Manitoba",Canada
AHZ,Alpe d'Huez Airport,Alpe d'Huez,France
ATV,Ati Airport,Ati,Chad
BGH,Abbaye Airport,Boghe (Bogué),Mauritania
BRJ,Bright Airport,"Bright, Victoria",Australia
CCT,Colonia Catriel Airport,"Colonia Catriel, Río Negro",Argentina
COH,Cooch Behar Airport,Cooch Behar,India
DCI,Rafsu Decimomannu Airport,Sardinia,Italy
EAT,Pangborn Memorial Airport,"Wenatchee, Washington",United States
FAV,Fakarava Airport,"Fakarava, Society Islands",French Polynesia
GDL,Don Miguel Hidalgo y Costilla International Airport,Guadalajara,Mexico
GWD,Gwadar Airport,Gwadar,Pakistan
HSC,Shaoguan Airport,"Shaoguan, Guangdong",China
IRE,Irecê Airport,"Irecê, Bahia",Brazil
JSM,José de San Martín Airport,"José de San Martín, Chubut",Argentina
KKU,Ekuk Airport,"Ekuk, Alaska",United States
KXR,Karoola Airport,Karoola,Papua New Guinea
LMG,Lamassa Airport,Lamassa,Papua New Guinea
MAW,Malden Regional Airport,"Malden, Missouri",United States
MLO,Milos Island NATIONAL Airport,Milos,Greece
MWT,Moolawatana Airport,"Moolawatana, South Australia",Australia
NZJ,MCAS El Toro,"Santa Ana, California",United States
PFJ,Patreksfjörður Airport,Patreksfjörður,Iceland
QAJ,Ajman International Airport,Ajman,United Arab Emirates
SAB,Juancho E.Yrausquin Airport,Saba,Caribbean Netherlands
SPC,La Palma Airport,"La Palma, Canary Islands",Spain
THX,Turukhansk Airport,Turukhansk,Russia
UNK,Unalakleet Airport,"Unalakleet, Alaska",United States
WPO,North Fork Valley Airport,"Paonia, Colorado",United States
YFC,Fredericton International Airport,"Fredericton, New Brunswick",Canada
YTQ,Tasiujaq Airport,"Tasiujaq, Quebec",Canada
XEA,Pacific Central Station,Vancouver,Canada
AIA,Alliance Municipal Airport,"Alliance, Nebraska",United States
ATW,Outagamie County Regional Airport,"Greenville, Wisconsin",United States
BGI,Grantley Adams International Airport,Bridgetown,Barbados
BRK,Bourke Airport,"Bourke, New South Wales",Australia
CCU,Netaji Subhas Chandra Bose International Airport,Dum Dum,India
COI,Merritt Island Airport,"Merritt Island, Florida",United States
DCK,Dahl Creek Airport,"Dahl Creek, Alaska",United States
EAU,Chippewa Valley Regional Airport,"Eau Claire, Wisconsin",United States
FAY,Fayetteville Regional Airport (Grannis Field),"Fayetteville, North Carolina",United States
GDM,Gardner Municipal Airport,"Gardner, Massachusetts",United States
GWE,Thornhill Air Base,Gweru,Zimbabwe
HSG,Saga Airport,"Saga, Ky?sh?",Japan
IRG,Lockhart River Airport,"Lockhart River, Queensland",Australia
JSN,Sherman Oaks Community Hospital Heliport,"Sherman Oaks, California",United States
KKW,Kikwit Airport,Kikwit,Democratic Republic of the Congo
KYA,Konya Airport,Konya,Turkey
LMH,Limón Airport,"Limón, Colón",Honduras
MAX,Ouro Sogui Airport,Matam,Senegal
MLP,Malabang Airport,"Malabang, Lanao del Sur",Philippines
MWU,Mussau Airport,Mussau,Papua New Guinea
NZY,NAS North Island (Halsey Field),"San Diego, California",United States
PFN,Panama City - Bay County International Airport,"Panama City, Florida",United States
QAM,Amiens-Glisy Airport,Amiens,France
SAC,Sacramento Executive Airport,"Sacramento, California",United States
SPD,Saidpur Airport,Saidpur,Bangladesh
THZ,Tahoua Airport,Tahoua,Niger
UNN,Ranong Airport,Ranong,Thailand
WRB,Robins Air Force Base,"Warner Robins, Georgia",United States
YFE,Forestville Airport,"Forestville, Quebec",Canada
YTR,CFB Trenton / Trenton Airport,"Trenton, Ontario",Canada
XED,Gare de Marne-la-Vallée – Chessy,,France
AIC,Airok Airport,Airok,Marshall Islands
ATX,Atbasar Airport,Atbasar,Kazakhstan
BGJ,Borgarfjörður Airport,Borgarfjörður,Iceland
BRL,Southeast Iowa Regional Airport,"Burlington, Iowa",United States
CCV,Craig Cove Airport,"Craig Cove, Ambrym Island, Malampa",Vanuatu
COJ,Coonabarabran Airport,"Coonabarabran, New South Wales",Australia
DCM,Castres-Mazamet Airport,"Castres, Languedoc",France
EBA,Marina di Campo Airport,Elba,Italy
FBD,Fayzabad Airport (Faizabad Airport),"Fayzabad, Badakhshan",Afghanistan
GDN,Gda?sk Lech Wa??sa Airport (Rebiechowo Airport),Gda?sk,Poland
GWL,Gwalior Airport,Gwalior,India
HSH,Henderson Executive Airport,Henderson,United States
IRI,Iringa Airport (Nduli Airport),Iringa,Tanzania
JSO,Södertälje Heliport,Södertälje,Sweden
KKX,Kikaiga Shima Airport,"Kikaiga Shima, Kikai-Shima Island",Japan
